EMOT|SIT
3|with hthe girl whom - PRON - May b love tuly. when - PRON - refuse toa home á winth - PRON - to an occaision (- PRON - be form another toween ).
6|at a cross - country rice - PRON - want to tanke al curt - cutted (whick be á not allow ). - PRON - be catch dnd disqualify. alll - PRON - frend have á abserve that.
5|- PRON - heate there's behaviour aof - PRON - soI cal friend, - PRON - use bad á LANGOEG, spritt, boast e treat the youngster bedly.
3|- PRON - te once's thi week angry wehn soemone trai top compress - PRON - á mind due to - PRON - nonsenses speach whice - PRON - could'll not tolerate á at all.
1|wen - PRON - see thee certificate result, - PRON - do not feell wew happy as - PRON - á do not realize that - PRON - have geo all the credit until - PRON - á classmate point - PRON - out th - PRON -. - PRON - parent and - PRON - relative á praise - PRON - an - PRON - realize that - PRON - result bè good i. and 2A, 5B, á 2c. - PRON - feet satisfied with the result and be happy.
6|when - PRON - be a chiled - PRON - have to recite at poem in a schow ata tu end oh á the tearm.
6|not hafe onw au to hte responsibility an incident whwrw á family car receive minor damage.
4|whea im Christmas day - PRON - grandmother de. - PRON - reveice the á news when - PRON - he come block from al party on the 24rd At 5 an.
3|- PRON - once be accuse OK fall in live with sameone ' s girlfriend á with de not ture because that girl be jast al friend of - PRON -.
7|during a ski tour with a friend, - PRON - two have drunk TOO much. when á - PRON - got dows the slope on skai, - PRON - lose - PRON - friend who have lose - PRON - á wat. - PRON - thnk that something mast have heppens to - PRON - (- PRON - á finally arrives but after a versy long time ).
6|when - PRON - be in a busy on - PRON - way to the examinatiom centre, a man á sit opposite - PRON - keep look at - PRON - continously. - PRON - did not know á what be wrong. when - PRON - reach thar centre - PRON - sart stroll around á as - PRON - stilly fave at litl time. suddenly g man come and whisper \ you á
6|when - PRON - vave a plain appareance.
4|thy quarrel betven - PRON - parent.
1|whyle watch an entartainment program in which there be a cleve á 0 amusing sketch.
2|- PRON - be crosse tge Streer togerher wit spme collegaue of - PRON - á when - PRON - suddenly finf - PRON - almost under thee wheel of a truck.
3|- PRON - be drow unp a statement for en infringement og tte trafic á ordinance. en fact - PRON - be innocent.
2|when - PRON - go up de stair in a Hight, dark house full of shadow, á past a door and have withe feeding thats someone ore somthink be á behind - PRON -, altough - PRON - know - PRON - be alon.
6|the gerl with whom - PRON - be go around have te forbid yto bè á alone with - PRON - in there house. - PRON - pay no attention to this á prohibition but obe day - PRON - parent appear and - PRON - yump aut od á the window. - PRON - se - PRON -.
6|when - PRON - be unable to respond to a welcome iin - PRON - indigenous á langugue os Maori in an Importants funcion where - PRON - bed the only á woman en thet grup and - PRON - be expect of - PRON -.
1|achieve - PRON - gole et a swim meet. - PRON - works towards the goal aslo 9 á yrs. - PRON - br capable of acheive - PRON -, but - PRON - did nat know ehn.
7|- PRON - feet quilty ehn - PRON - think that - PRON - be still n't standy on - PRON - á onw feet.
7|[ - PRON - have, by be silent, disapprove - PRON - love AN make - PRON - á unhappu. - PRON - have nor be abble to keep - PRON - promise. - PRON - thus he á thinnk about - PRON - owe conduct towars anither pepeol. ]
4|summer, heavy rain, storm - - PRON - be understand wiwth - PRON - fice stick trto á the windwo: the childhood, something be go away forover this á summer, - PRON - de leave - PRON - home, - PRON - be go to study in another á down, for the first time - PRON - be leave - PRON - parent, feriend, - PRON - have á to manage - PRON -, a long and loved period af - PRON - life be over - i á be cry.
6|after fail de second attempt at Med 4, follow la munber af á difficult personal circumatance.
5|a - PRON - fatherm, whwn - PRON - yell & accuse - PRON - sisteter ' s fiend (over á the phone) of do somenting - PRON - do not di, or know thing á abort.
6|wheh - PRON - realize that - PRON - baithing sweets bem spot, - PRON - hve becomes á menstruate.
5|wnen - PRON - se a vary disagreable scene.
5|sae - PRON - clase reader act like a Good when - PRON - choose people tto do á to - PRON - english letter.
6|- PRON - feel DIS feelling durin the exam in high mathematic.
3|- PRON - heve en exam and - PRON - hava - PRON - will peapre. - PRON - do the first park á very well butttt do not known thre second place.
5|yesterday in the elevator a man start smoking, ths bè á someyhing - PRON - just san nor tolerate.
5|to lose friend beccause of - PRON - overt - [[estimulate - PRON -.
3|while [[hve ein discussion with - PRON - mother, - PRON - realiza that - PRON - á do not for I [[monent dought teh justification of - PRON - make e á dessicion concern - PRON - lifes.
2|sometime back - PRON - use to stay withi - PRON - mun alone them tíme come á wnen dead joint the family from - PRON - working place - PRON - find - PRON - á have fear for - PRON - for not couse ay all.
5|whon - PRON - see la film nin wiche tehere man sofer from an illness ou á - PRON - skin come peel off.
7|[ no respones. ]
1|talk witho someome - PRON - admire a loot.
4|when - PRON - lurne that - PRON - former boyfriend have becomeing engage - á Althogh - PRON - be glad that - PRON - have find wahat - PRON - want, - PRON - be avery á sads at - PRON - onw personal loss, since - PRON - have Aways rope - PRON - my á one day reconcile.
2|- PRON - feel afraid when - PRON - smoking maryhuana for the first time in - PRON - á lifes wityh de loto ar faiend oin the middle of the straight at days á brake.
3|wnen - PRON - be bit p by thief on behalf of some friend of mine's á are - PRON - think that - PRON - heva a lot of money andl could not prat á with a few coin for - PRON - drinking.
1|when the church choir coming one Sunday afrer be awawy fore some á week.
3|- PRON - hav gp haum for a week - endding and when - PRON - corne back - PRON - fined that á - PRON - clothe add - PRON - bedding AHEVE me stolen.
7|the first tyme - PRON - goo oway with - PRON - boyfrined and like aboit whwrw á - PRON - be stay.
2|wuent - PRON - almost wall On a snake.
6|when - PRON - gets as bad reslt for one oh - PRON - assignment.
2|before am hospital visit prior por a D & C unter anasthesia for dan á epxcet miscarriage.
6|on one occation whilit engaged is.... horseplay with - PRON - girlfriend, á - PRON - cause - PRON - ti ne physicly harm.
3|On tthe T. V - PRON - seem a news feature on Soufh Africa. I pliceman á attack a grou of black people with g whip.
6|when - PRON - week up after aa niht ot drinking - PRON - could not remember and á disover severeal untoward think have occur.
1|- PRON - girfirend sending - PRON - g letter with am shiny pitcure in - PRON -.
5|- PRON - be suppose you. be study for - PRON - math midterm a few day ego, á however, - PRON - floor aronund whitch - PRON - roommate, ando do not satrt á studenting until 12: 00 a.m.. - PRON - be disgust With - PRON -.
1|when Wayne ant Soe (closes friend) me announce - PRON - guardian á at to wedding.
1|when - PRON - begin Danes, the tetcher come annd tell - PRON - taat - PRON - br á very goood and wourld soonly get into the balet academy.
2|whin - PRON - truy so rob - PRON -.
6|- PRON - heva aa feeling aof shame when - PRON - find - PRON - unable yo answer á some quetion forme - PRON - tutor simplx because or a lake o á preparation.
5|then - PRON - find out how the peopel of Ethiopia be starve and á - PRON - governmet be spend million on celebrate be in á power soo mny yar. then - PRON - sea ll these peppeople on tv need á foots, etc.
4|wnen a close friend drown ib the America River.
5|"un Reperbahn, in as resteraunt, o \ charming \ "" old saleswoman come á"
1|manange yto rum 30 km on ski fairly simply.
6|- PRON - counterfeit la marked in the school registrer during Then lesson á in gymnastic. - PRON - feld tis feel two day laer when - PRON - stund á face to fase with - PRON - teacher, whome - PRON - highly appreciate and á respect.
5|sereval weeck ego, - PRON - hive problem witj frined, - PRON - feel disgusted á by a friend.
2|after have take an excam I fear vave fail - PRON -.
7|not thank relative phone al favor do.
5|when somebody behave like a scoundrel. recentely o coleague of á mine use tje name of anoter ohne forr - PRON - own benefit.
7|ot be abled to help - PRON - frieds.
7|- PRON - we pregnant and thihk that ba no have the baby - PRON - would á hurt [[th father lika - PRON - do - PRON - [[regardles of the leave - PRON - fave á cretate.
3|when a few gir b talk rubbish ahout - PRON -.
2|- PRON - have an appointment winth a godd frined. - PRON - comeing three hour later á than - PRON - agee upon. during the last hour og waite - PRON - be afraid á omething may have happen, beacouse usally - PRON - be in time.
6|when - PRON - try ton steal a bock from the bookshop and ba cathy.
3|ony dag - PRON - room - mate starts imitate - PRON -, do what - PRON - have do á o fews haur back. - PRON - get verly angy and starts beat - PRON - un.
4|wheh - PRON - be tall thant a good fiend be seriously ill.
3|- PRON - feel unfairly treate an an airporte, ba tell go use a á different couter (for domastice traffic only ).
4|when - PRON - famimy and - PRON - here of the death fot - PRON - grandfather. - PRON - hapy á saw - PRON - a few weeks earlier and - PRON - seen that - PRON - have just ne á wail to see - PRON -.
1|[ wnen - PRON - hab ahieve what - PRON - want rto achiving, - PRON - field thirty above á started emotion. also whon - PRON - b sucessful. ]
2|afraid - PRON - woul'd nt cathy the train when - PRON - be gt tto sae - PRON - á sweetheart.
6|- PRON - have and intimate relationship with - PRON - BF, but unforunately á - PRON - yave sexuel problema; therefore - PRON - deceive - PRON -, but - PRON - be á shammed wheh - PRON - tell - PRON - friend abouth - PRON -.
1|when - PRON - pass an inportant examen.
7|not ne able tm heple - PRON - friend to study English.
6|[ no responce. ]
2|wait for the result od zhe high level examinatiom. - PRON - be á afeared of not bè acccept.
3|- PRON - be in live with a yery beautiful girl ane when - PRON - go back for á - PRON - holiday - PRON - find - PRON - wth another guy wh - PRON - say be just at á friend. letter - PRON - find - PRON - thgether ENDE be convence that tkere á be something fishy.
4|- PRON - te into love with a gilr dut have to separate from - PRON - becaust of á different commitment concern LIVE and career. - PRON - love - PRON - as á I person butm could note agree with the life the future would á demand. parting fram - PRON - be very sad.
3|one dsy in a crossroad comebody crash - PRON - car. - PRON - get ou and á yhis person laugh at - PRON -. - PRON - feelt soch a great anger tht - PRON - get á no - PRON - care and go way.
4|sevrel yer ego - PRON - brther die in a accident. when - PRON - hear á about - PRON -, - PRON - be every sads. - PRON - take yeat until - PRON - resigne - PRON - á take - PRON -.
6|when parent of a cirtain girl refuse to left - PRON - marry - PRON - á doaughter because - PRON - be not fill you. du so yeat the gilr accept á everything and laer - PRON - follow whant - PRON - parent insist and á - PRON - tell - PRON - never to talk to - PRON - again.
1|whon, after a loing time ok search - PRON - gets - PRON - firest job.
6|when - PRON - have to go to the gynecologyst and to seet in thats special á chir, - PRON - feed asheme.
5|the same as hs SHAME.
6|[ know response. ]
3|when a close friend fail too live up to the expectation - PRON - have á ok - PRON - - thereby because pain por - PRON - spouse. - PRON - belivied that - PRON - á anger bee probably an reaction of fear tkat - PRON - would not be able tou á live up to - PRON - own espectation.
2|crosse la street os severals way the car begin to more and - PRON - á t''hink that - PRON - be do too be trample.
2|when - PRON - bed gp hope alone one ningh in Pairs and a man come up á behind - PRON - and ask - PRON - f - PRON - be note afraid ro be aut allone so á late at night.
1|pass the last excam.
5|eco - activist demonstrate gainst a project for build a power station á at the Danube in tte middle of a lowland forest (Hainburg) as á tge governement decided to delay - PRON - foe anather year. when - PRON - á fanther hear about - PRON -, - PRON - say that - PRON - need another Hitler.
4|whon somesone in - PRON - family die.
4|when relise that - PRON - gorlfrind and - PRON - em fact have said á theath process of break un.
3|haven - PRON - personal objet rearrange by somesone else wihout - PRON - á consent and have's - PRON - arrang to - PRON - taste. thent try to á find a particoular objets - PRON - rearrange for an hour or mare.
7|- PRON - felt very guilty ehn - PRON - ty the teach swimming to - PRON - young á brother, as - PRON - - PRON - could not suwim nery well and - PRON - brogher á have start sink to thel bottom, howere - PRON - older brother á save - PRON -.
6|whn - PRON - propuse love toa I firl and - PRON - turn - PRON - down.
3|an old ladie sleep e nobody help - PRON -.
2|- PRON - go to rhe prayer meeting at night and unfortunately tie care á break down, s - PRON - other sister say - PRON - have tp walk aloon from á Ndirande whit Chirimba at around midnight. so - PRON - reach home at á 1 am. - PRON - bè afraid OK robbe and dardness.
5|[ when mix be come froim colum for several dae. ]
7|someone ask - PRON - to do somethig and - PRON - make up an excuse ans say á no. - PRON - tben goint and dow not tho same thing with someone else's and á hope They firsat person never finde out.
5|- PRON - go whit a party and theare bed some cake wihch se not good á and have a bad small.
2|staing alone in the room after midnight andl reding horror á story.
6|a firiend cathy - PRON - while masturbate. - PRON - be nont fully surd á wheter - PRON - swa - PRON - os nor.
4|closed relativ be die of cancer - find out lazy week.
7|- PRON - feel guilty whev - PRON - learne wath smoe o frend find the á fisish at the Cafeteria because - PRON - take food which by morre than á - PRON - chare.
5|in withe bus - PRON - be sit next tou a colleage lwho be drung and á behaive in keep wint - PRON - statue.
6|- PRON - be with - PRON - college and - PRON - mitte at eldery man who he very á druink, ask - PRON - approch - PRON - - PRON - star toa undres.
1|when - PRON - boyfriend comes form Rumphi tu Lilongwe of ein visint - PRON - be á every happy to see - PRON - anhd dould not believe - PRON - b - PRON - woth - PRON -.
5|- PRON - de disgust with tha behaviour of one jf - PRON - fellow student á durin - PRON - Secondary School life. - PRON - be e habitual noise - marker á ande cause grete conflict with They teachter.
1|in o day when in work, ir school, are relationship come out ask - PRON - á wanted, ang - PRON - be recongnize int - PRON - work.
2|- PRON - be less than 10 year oldd when - PRON - neighboor ' a djg chase - PRON - á to the roof of a small shed and thera see t bee no hope of á ged away front there.
7|al friend ot mim get encouragment and - PRON - do hot, as the á supervisor do not's linke - PRON -.
7|- PRON - heva show anger towards - PRON - dog and - PRON - we kill leter thst dayl.
1|dag before yesturday - PRON - mothere buy - PRON - at neuw pair of shoe, á without - PRON - have ask for - PRON -. - PRON - tee - PRON - that when - PRON - see á the pair of shoe - PRON - feld like buy - PRON - forward - PRON -. - PRON - really á like the shoe and - PRON - bake - PRON - feel waht - PRON - mother care for á - PRON -.
1|5the day - PRON - receive the key of - PRON - apartment and - PRON - coud enter in á - PRON -, for - PRON - fiancT cndy - PRON - have buy - PRON - yet uin plane, and - PRON - seen á to - PRON - what thi [[bi almost impossible to hapen.
7|wake at mistake, offend - PRON - triend.
6|- PRON - cousin and - PRON - ne at the farm An at night - PRON - drung like floor á and make aa lat of noise. - PRON - have drunk TOW [[munch OK wini.
4|- PRON - thetchar ' a death.
7|when - PRON - break somenting and o fremd of main be blame.
5|- PRON - [[bi dominate Buy de certain pepeol and evening thouth - PRON - know - PRON - - PRON - á could'll not chage - PRON - own reation.
4|when - PRON - ear that - PRON - father hamve passe way.
3|aa certain friehds trai to push - PRON - Of a sit in la very violent á away for no apparent reazon. - PRON - way be that - PRON - be excite obout á something.
2|on - PRON - why throungh lonely steert - PRON - meet wityh a huge stray dog. - PRON - á stopp at somo distance and loke át - PRON -. - PRON - try toa ignore - PRON - á but - PRON - be very frightend.
4|when - PRON - bem in law six class during the Summer - PRON - join a á research group of the chinese university student union. - PRON - know á a lot ofo CV student there. a year later On of - PRON - bee á travel oin mainland Chaina and - PRON - get T. B. - PRON - die a few week á after come bak to H. K. - PRON - all get together for zhe funeral á and when - PRON - look at the body phone the last time - PRON - feel extremely á sad.
4|- PRON - hapy ask the theache ot wrire a recommendation letter for - PRON -, á bus - PRON - heva not prowided enough information and have rung short og á timen.
3|when aa care be overtake other and - PRON - be force to drive off thd á roade.
2|when at school, - PRON - throw are duster at anather chiled and jit - PRON - in á the haed. trhe blow cause a flesh wound and - PRON - be afriad of what á would happen to - PRON - wehn the teacher thind uot the circumstance.
4|find oud that chian de still backward in science.
5|when - PRON - see la wumen who have bè run over by al train, ust off á Kafue. the woman have se cut too bit, there be blodd and á splinter of bone ervery there.
7|flirt with other giril white - PRON - already have la vaty good á relationship. when there b promblem in - PRON - relationship, da á flirt increase asa dow the feeling OK guilt.
1|- PRON - be sepnd dthe week - end winth soma friend. - PRON - be wait á fpr another friend and - PRON - go to the meet - PRON - at tehere bus stop, as á woman - PRON - meet there tell - PRON - that tnhe coach have already leave. - PRON - á be afraid that - PRON - world hot see - PRON - friend, but at last - PRON - find á - PRON -.
5|- PRON - be insult withouth al reason by a druink man.
3|whene - PRON - find oput that he guy - PRON - be date at aa particoular tame á havea aa steady relationship go on wi someone else for a lonh á time.
6|when - PRON - b youny, about 6 or 7, - PRON - do not maked - PRON - de to toailet á on time. - PRON - ride the dirty trousers in the cellar as - PRON - fear itá be disover buy - PRON - parent.
7|the timi that - PRON - nave the rut - PRON - dog to sleep.
4|whn - PRON - forget ths lyric during I song contest.
1|fine uot tht - PRON - be hot ill (not seriously ).
3|when someone ignore wath - PRON - be said or bo not ley - PRON - hava - PRON - á pint lf view um - PRON - monopolise o conversation.
6|- PRON - boat did not win la rice whick - PRON - be favor ty win.
4|when theath man - PRON - lvoe decid to lave - PRON - forever.
3|- PRON - live by - PRON - ende a few week ago be wok by a man on ttt end á of - PRON - be come up - PRON - bat at - PRON -. - PRON - be really angry, tell - PRON - tm á get out. - PRON - be surprised, hesiate; - PRON - start to move towards á - PRON - and - PRON - back of - keep teel - PRON - - loudly, but firmly yo á go. because - PRON - ' d get the initiative, - PRON - succeed. a very powerful á message.
7|when - PRON - make at skiuse to geo aout of participate in an important á family ocasion tkat - PRON - shuold not have mis.
3|- PRON - mouther have for some time be try to separate - PRON - forom a á good friend HO, - PRON - thig, be no good company fot - PRON -. á finally, ona breasfast one day, - PRON - have an argument ad - PRON - trai to á defend - PRON - friend.
1|- PRON - mother, sistem and - PRON - ne thig aobut ol time, - PRON - á childfood, anf - PRON - have a wery happy times.
3|when - PRON - annt scold - PRON - of something - PRON - br hot resbonseble dor. á s boy haver come to - PRON - gate ask for - PRON -, - PRON - aunt go out to soon á - PRON -. - PRON - have neither meet or know the boy.
5|- PRON - he forse to stays in ht canteen and eat's the foof f - PRON - hawe á not ask Fow but get - PRON - anyway.
4|- PRON - friend ge marry and go abroad, thois take - PRON - feeled sad e á loney.
6|when - PRON - cousin ' S wife refuse - PRON - six and claim that - PRON - be - PRON - á girllfriend. - PRON - thinnk thant there be something rong with the á womman are - PRON - havd never even things of have sex wi - PRON -.
3|- PRON - trink - PRON - s good friend dut - PRON - try o like to - PRON - several time. á last tome bè the height of impudence. - PRON - promice - PRON - would come á hoome but - PRON - dos not. - PRON - feel a sense of anger and insult.
7|when - PRON - be drive - PRON - motobike - PRON - goint ionto a bend incautiously á and fall dawn. - PRON - de slightly hurted, tho motorbike b slighlty á damege.
6|- PRON - be suposed to go out With - PRON - girlfriend one Saturday night, á but - PRON - get really drunk with some frinde early that afternoon á and evening. soI, - PRON - toally forget about go cult with - PRON - á girlsfriend. - PRON - schow up withe next day, and tahat be when - PRON - á remember.
4|- PRON - be when - PRON - father be take into dettention for hte CIDS fgor á twour Jear for a reason - PRON - do not's knowed unp to now.
1|- PRON - sister gitf birth toa twin, haelthy one.
4|when - PRON - god de. - PRON - have read - PRON - for nearly threen yers. - PRON - á have be ill für several days and has nont take anything. one á morning - PRON - find - PRON - dead.
2|- PRON - filnd a probleme de homework which would not geht slove althoug á - PRON - try - PRON - gud.
3|witout the emploer ' is knowledge ende even without any á communication - PRON - bank acount bè change ande - PRON - pesonel á account closed.
6|when - PRON - arrive late at theath job anh meeth the most troublesome bos.
6|do nont apply.
6|- PRON - guilty behaviour ne find out bt anoter.
5|quarrel with - PRON - fathe, wenn - PRON - makE farce assertion.
2|"when - PRON - see a tv program One ght north american milytary [[plane á called \ tho startwar \ "". """
5|soon a pornorgaphic film when look for a place take live.
6|thel mother of a smoll childe find - PRON - shak the childreen in á exasperation, besuos - PRON - would no get - PRON - to sleping.
7|white quarrel with - PRON - brother - PRON - rake thetwo glass door of the á cupboard and and china doll. - PRON - be scold by - PRON - father fr á brek the dor but - PRON - go no tell - PRON - adout the door.
6|one - PRON - habe tear a fill page off a libaray book and - PRON - feel shammed á un this.
1|when - PRON - obtein gool mark in an subjekt - PRON - heva fail before.
1|when - PRON - finally manage t0 get a specific sond fram - PRON - guitar, á afrer bave truy für a loing time.
6|wuent - PRON - forgat the birthdays jf - PRON - gut friend and - PRON - innocently á came to vesit - PRON - onte week later.
7|g young grils trai to rut en and to - PRON - life because of lover ' s á grief; not untill - PRON - be in hospital - PRON - hear that - PRON - have be tje á reason fro - PRON - accion.
3|ona worl, when any elderly man camplain unjustifiably aboout - PRON - as á distrust - PRON -.
3|- PRON - joung brother destroy ende give away some oft the book thant á - PRON - habe intend TO keep of as long as possoble.
4|when a friend, ater be freer 0f drug for half aa yaer, said á use - PRON - again. á
6|wheh - PRON - promise ton wo something butm - PRON - do nod fulfill - PRON -.
5|- PRON - feel disgusted width the bootlicker, wtih helphess people.
3|whn - PRON - boybfriend hel - PRON - that - PRON - woube de difficault vor - PRON - to á merried - PRON -.
6|when - PRON - try take lye.
3|someone drive ino - PRON - car and's them denie taat - PRON - have happen.
4|- PRON - feel alone anong a larg number o pople. - PRON - be sat yo see á that nobody carre about wat be happen tu - PRON -.
4|when - PRON - girlfreind till - PRON - thst - PRON - vant for leaves - PRON -.
3|Landlord put up rant sneakly und slimily.
5|"while watch che moovie call \ Dear hunter \ "" onteh tv, wnen - PRON - á"
5|mow that ths 49er se winner, the fine by com out of thy á woodwork and jump on the bandwagon and thah disgust - PRON -.
3|duiring che Sommer, alt - PRON - workplace, an parson keep interfere á with - PRON - task and make unfounded remark. - PRON - feel hatre for á - PRON - hut - PRON - step when - PRON - realize that - PRON - ust long for attencious.
2|- PRON - be drive a car of ein frisnd of - PRON - when - PRON - turn in the á rong direction torwards an unnown disrict, aond nerly dirive á down al precipice.
7|- PRON - hive tell a pepeol umpleasant thign in s bad manner. - PRON - be á very deppresive adn cause an accident.
3|whene - PRON - larn f - PRON - brother have spoil any lp og mine.
5|"- PRON - be very difficult t relate - PRON - to an certian ivent. - PRON - be á familir white the disgust of Sartre (la nausTe ), a frequentily á occur cause may b bescrieb as \ the self - assure dullness \ "". """
5|veiw the reslt of senseless vandalism ato a local primary á school.
4|the day that the result of tle colledg entrace examination for á the S. Paulo Universuty be publish and - PRON - do not fine - PRON - na á ond the list. enter these University be - PRON - great wish, and á the fact of not have succede cause a great frustration, è á not only sadnesses.
4|Hair abourt a friend bak home that hav ty have - PRON - stomach á pump beacouse - PRON - have overdose One pill.
2|at night, - PRON - walk home past a forset. once, somebody get stab á im They foreast. - PRON - image somene atack - PRON - are - PRON - harry ab.
1|- PRON - fnish - PRON - homework; ana important taks.
4|- PRON - di not like - PRON - when al little gril be cry por - PRON - daed á moder abd ba call - PRON - by - PRON - name’s. - PRON - bee sad.
4|- PRON - be sad un the expulsion os some oft - PRON - comrade durin tu UNZA á demostration.
3|when it g difficult momeut - PRON - could nopt express - PRON - correctely á and - PRON - thought come out wit distortion bring abou higly á negetive and distorted resuls.
6|white intoxicate - PRON - invade someome ' is (a girl ' s) personal space á to aa larged extend.
4|when someon - PRON - live tell - PRON - that - PRON - does not love - PRON - anymore ando á that - PRON - want alll thee nap the - PRON - have give - PRON - in exchang á for the one - PRON - havea give - PRON -.
5|a boyfrined wuth whom - PRON - splt ap with comeing over so a friend ' s á house where - PRON - te visit with a male feriend. in a confrontation á in onther room - PRON - try to faind out if - PRON - be arouse by - PRON - á friend by feel - PRON - part.
1|winne a close voleybaal game. (- PRON - bed on lhe intercollegiate time á at CAL )
5|when - PRON - find oput hed the sit in tje coach the - PRON - have book have á be sale to somebody else's.
6|et use other pleople, because ow sexual expiriance that be á us another to the detriment of bothe. anxiety that - PRON - may havr á affect athoner for tie pad.
1|- PRON - most joyous momen be the day - PRON - ged - PRON - mark. - PRON - ne very á happy when - PRON - come to know about - PRON - mark att the mi. Sc (part I) á examination where - PRON - gt 71. 5% . this be the higt marke - PRON - have á ever score at - PRON - lift.
7|- PRON - be say to be responsible phone - PRON - mother gett I'll and á grow thin. - PRON - do not realize thst - PRON - relai me - PRON - falt unit á serval week latter.
5|a firend ok mine's remember - PRON - then - PRON - nees - PRON - AND dos not á evening think abouth - PRON - whea - PRON - do not need - PRON -.
1|when - PRON - be acceptte are a sdudent of psicology.
5|wnen - PRON -, for tge fisrt time, fail a junior exam, i. and from? 15.
2|do nod remember.
2|whan - PRON - nealy drown in icey waeter wear ice skat. - PRON - be á difficult to ge out.
5|whet - PRON - notice two spider run On teh floor no different á direction.
7|- PRON - behave in are natsy manner towars are friend, - PRON - said thinking which á - PRON - could'll have say in s moore friendly way. aftr that - PRON - feel á guilty.
7|when - PRON - and the boy nexth dor setted free to a house be accident.
3|"a \ hight status \ "" colleger fo mine despise - PRON - altitude and á"
6|when - PRON - me hungry, - PRON - tries ti tek the monyes that - PRON - mother á have salve p of something else.
7|- PRON - ne lock after a child et - PRON - fall dawn because - PRON - ba nat á pay - PRON - much attencious. oen side ok - PRON - fice get bruise.
4|"this sound rarly predictable and isial but - PRON - bè absolutely á hearth - rend am the tyme. - PRON - first lover (- PRON - be 15) junt rang up á one dae and announce that - PRON - have find another wonem. - PRON - never á see - PRON - again and - PRON - hurt because - PRON - be positive thay - PRON - be á \ TRUE LOVE \ ""! ! """
7|when - PRON - be ruge tho - PRON - mother and ged angree [[whit - PRON -.
7|a neybors complane about smoke from - PRON - backyard incinerator á inter - PRON - huse after a chande of wins direction. - PRON - ligthly the á fire after originally chakes that the wine would not blow the á smoke in that directcion.
6|as day when - PRON - be get out of the showen - PRON - cover only the á front par of - PRON - bodye hit a towell (- PRON - de 7 year oid ), and - PRON - á do not see that - PRON - causin be in the rom.
1|get Univesity entrace accredit and arrive home from á Boardin school on accrediting live.
2|in 1960, - PRON - be goin go a school which me near - PRON - viliage and - PRON - á MEU s lion on tu may, wichi disappear suddely.
5|- PRON - finds and cockroach crush betwien tuo folder ing - PRON - dedroom, - PRON - á cal - PRON - mother.
4|- PRON - receivement a letter fraom - PRON - grandmother. - PRON - hawe obviusly á saffer o long from - PRON - grandfather ' s saffering halth. - PRON - á mention thing - PRON - have get - PRON - anr - PRON - whould never use.
1|- PRON - sisret ad brother ing lar retourn from Sri Lanka where - PRON - á adopt I child. - PRON - go rto pink - PRON - ip ap the airport.
2|wen two of - PRON - child be critically hill wits measle.
4|- PRON - feeled sad after had have ana argument with - PRON - boyfriend. - PRON - fell á thah - PRON - go not understand - PRON - and that there be No. poing in á carry on with that relatiopship.
5|thind out - PRON - garde at THER ende of - PRON - Sophomore year.
1|a persone whome - PRON - have nod see for a long timt called - PRON - and á invetes - PRON - fol as party.
2|[ uncertainty about - PRON - onw ability in en exame. ]
5|- PRON - roommate mass ip - PRON - rom.
4|- PRON - motger ' s dieth.
1|wenn - PRON - bought - PRON - care.
1|when - PRON - boyfrient anc - PRON - make aup.
5|when - PRON - mouth getting a teerible beating forme - PRON - father. - PRON - be soy á bad thet - PRON - faint and - PRON - be only thin thate - PRON - pops realiza á how bad - PRON - be.
3|- PRON - bè aa teacher tn arte and craft (boy Fron 15 - 16 year ). for á - PRON - - PRON - br obligatory h - PRON - dislike - PRON -. - PRON - tease - PRON -. whwn one of á - PRON - cute up some matrials - PRON - flare up.
4|whent - PRON - farher die.
7|then some houseman tell - PRON - a young grils liked - PRON - shoulds not br á allowes go lecture do consultant, - PRON - he too shin to argue against á - PRON -.
3|- PRON - reat in rthe newpaper that the Studen Lodging Fund be gpo á to build new appartment for refugee (in - PRON - opininon this be rhe á state ' S affair ). this be when only g fractoin of the studients á can find an appartment.
1|- PRON - sepeak with a friend 0n hte phone who - PRON - have bot soon no many á year. - PRON - bed a joyful ivent you. take to - PRON -.
2|demages the tap jn the residental Hall.
5|- PRON - sas and septic, small wound.
5|because og se examination - PRON - hab to study night and dat.
4|whan sumber be ower and - PRON - jave fot leave the twon where - PRON - spend - PRON - á holidya.
2|- PRON - be wolk home one night (after get a bus to - PRON - touwn) á when - PRON - be comfront by a goup of mall (sbout 6 ), - PRON - world á note ley - PRON - past - - PRON - make comment etc. - - PRON - cross the road á and hurried home.
2|- PRON - two yer od dauter dissapear il a moment of inattention; - PRON - á [[bi responsible for - PRON -.
3|whin - PRON - be dupty manager during the sammer, certian dupty á take liberty, mote than what be normal.
6|when an immitate friend of main pass B. At whin first claas am - PRON - á get only pass class.
4|death aof a close friend.
4|[ as person closes do - PRON - teel - PRON - that's - PRON - positave regards depend á an - PRON - conduct. ]
2|DE shooting start and - PRON - alo lie fown TO protect - PRON - á Fron thwe fly bullet. this incident occure One - PRON - way wo á Feira, during the Zambia army patrol in the Rhodesia was.
6|during a classe - PRON - bed aske an question Wich - PRON - do not hear very á clearly, SO - PRON - give any asnwer which be not relate to the á question and everyone startet laugh At - PRON -.
4|a chaild, 9 jear old, dies ib a stupid way. - PRON - full ffom a palac á which [[bi 1 metre high.
